date,week_start,day_of_week,hour,platform,theme,query_count
2021-09-01,2021-08-30,Wednesday,8,touch,Новости,5
2021-09-01,2021-08-30,Wednesday,8,desktop,Поздравления и праздники,169
2021-09-01,2021-08-30,Wednesday,8,touch,Поздравления и праздники,1231
2021-09-01,2021-08-30,Wednesday,8,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,8,touch,"Покупки, стиль и бренды",13
2021-09-01,2021-08-30,Wednesday,8,desktop,Сервисы,6
2021-09-01,2021-08-30,Wednesday,8,touch,Сервисы,5
2021-09-01,2021-08-30,Wednesday,8,desktop,Справка и Образование,47
2021-09-01,2021-08-30,Wednesday,8,touch,Справка и Образование,70
2021-09-01,2021-08-30,Wednesday,8,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,8,touch,Чувствительные запросы,12
2021-09-01,2021-08-30,Wednesday,9,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,9,touch,"Здоровье, питание и рецепты",13
2021-09-01,2021-08-30,Wednesday,9,desktop,Карты и навигация,8
2021-09-01,2021-08-30,Wednesday,9,touch,Карты и навигация,28
2021-09-01,2021-08-30,Wednesday,9,desktop,"Медиа, фото и развлечения",51
2021-09-01,2021-08-30,Wednesday,9,touch,"Медиа, фото и развлечения",85
2021-09-01,2021-08-30,Wednesday,9,desktop,Новости,2
2021-09-01,2021-08-30,Wednesday,9,touch,Новости,5
2021-09-01,2021-08-30,Wednesday,9,desktop,Поздравления и праздники,153
2021-09-01,2021-08-30,Wednesday,9,touch,Поздравления и праздники,1004
2021-09-01,2021-08-30,Wednesday,9,desktop,"Покупки, стиль и бренды",6
2021-09-01,2021-08-30,Wednesday,9,touch,"Покупки, стиль и бренды",17
2021-09-01,2021-08-30,Wednesday,9,desktop,Сервисы,8
2021-09-01,2021-08-30,Wednesday,9,touch,Сервисы,4
2021-09-01,2021-08-30,Wednesday,9,desktop,Справка и Образование,49
2021-09-01,2021-08-30,Wednesday,9,touch,Справка и Образование,86
2021-09-01,2021-08-30,Wednesday,9,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,9,touch,Чувствительные запросы,4
2021-09-01,2021-08-30,Wednesday,10,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,10,touch,"Здоровье, питание и рецепты",11
2021-09-01,2021-08-30,Wednesday,10,desktop,Карты и навигация,8
2021-09-01,2021-08-30,Wednesday,10,touch,Карты и навигация,23
2021-09-01,2021-08-30,Wednesday,10,desktop,"Медиа, фото и развлечения",66
2021-09-01,2021-08-30,Wednesday,10,touch,"Медиа, фото и развлечения",66
2021-09-01,2021-08-30,Wednesday,10,touch,Новости,4
2021-09-01,2021-08-30,Wednesday,10,desktop,Поздравления и праздники,113
2021-09-01,2021-08-30,Wednesday,10,touch,Поздравления и праздники,704
2021-09-01,2021-08-30,Wednesday,10,desktop,"Покупки, стиль и бренды",8
2021-09-01,2021-08-30,Wednesday,10,touch,"Покупки, стиль и бренды",18
2021-09-01,2021-08-30,Wednesday,10,desktop,Сервисы,6
2021-09-01,2021-08-30,Wednesday,10,touch,Сервисы,9
2021-09-01,2021-08-30,Wednesday,10,desktop,Справка и Образование,64
2021-09-01,2021-08-30,Wednesday,10,touch,Справка и Образование,97
2021-09-01,2021-08-30,Wednesday,10,desktop,Чувствительные запросы,2
2021-09-01,2021-08-30,Wednesday,10,touch,Чувствительные запросы,6
2021-09-01,2021-08-30,Wednesday,11,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,11,touch,"Здоровье, питание и рецепты",11
2021-09-01,2021-08-30,Wednesday,11,desktop,Карты и навигация,9
2021-09-01,2021-08-30,Wednesday,11,touch,Карты и навигация,15
2021-09-01,2021-08-30,Wednesday,11,desktop,"Медиа, фото и развлечения",77
2021-09-01,2021-08-30,Wednesday,11,touch,"Медиа, фото и развлечения",94
2021-09-01,2021-08-30,Wednesday,11,touch,Новости,6
2021-09-01,2021-08-30,Wednesday,11,desktop,Поздравления и праздники,84
2021-09-01,2021-08-30,Wednesday,11,touch,Поздравления и праздники,437
2021-09-01,2021-08-30,Wednesday,11,desktop,"Покупки, стиль и бренды",6
2021-09-01,2021-08-30,Wednesday,11,touch,"Покупки, стиль и бренды",20
2021-09-01,2021-08-30,Wednesday,11,desktop,Сервисы,9
2021-09-01,2021-08-30,Wednesday,11,touch,Сервисы,7
2021-09-01,2021-08-30,Wednesday,11,desktop,Справка и Образование,58
2021-09-01,2021-08-30,Wednesday,11,touch,Справка и Образование,83
2021-09-01,2021-08-30,Wednesday,11,touch,Чувствительные запросы,11
2021-09-01,2021-08-30,Wednesday,12,desktop,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,12,touch,"Здоровье, питание и рецепты",13
2021-09-01,2021-08-30,Wednesday,12,desktop,Карты и навигация,9
2021-09-01,2021-08-30,Wednesday,12,touch,Карты и навигация,32
2021-09-01,2021-08-30,Wednesday,12,desktop,"Медиа, фото и развлечения",63
2021-09-01,2021-08-30,Wednesday,12,touch,"Медиа, фото и развлечения",78
2021-09-01,2021-08-30,Wednesday,12,touch,Новости,11
2021-09-01,2021-08-30,Wednesday,12,desktop,Поздравления и праздники,62
2021-09-01,2021-08-30,Wednesday,12,touch,Поздравления и праздники,374
2021-09-01,2021-08-30,Wednesday,12,desktop,"Покупки, стиль и бренды",6
2021-09-01,2021-08-30,Wednesday,12,touch,"Покупки, стиль и бренды",24
2021-09-01,2021-08-30,Wednesday,12,desktop,Сервисы,7
2021-09-01,2021-08-30,Wednesday,12,touch,Сервисы,8
2021-09-01,2021-08-30,Wednesday,12,desktop,Справка и Образование,71
2021-09-01,2021-08-30,Wednesday,12,touch,Справка и Образование,97
2021-09-01,2021-08-30,Wednesday,12,desktop,Чувствительные запросы,2
2021-09-01,2021-08-30,Wednesday,12,touch,Чувствительные запросы,8
2021-09-01,2021-08-30,Wednesday,13,desktop,"Здоровье, питание и рецепты",4
2021-09-01,2021-08-30,Wednesday,13,touch,"Здоровье, питание и рецепты",11
2021-09-01,2021-08-30,Wednesday,13,desktop,Карты и навигация,12
2021-09-01,2021-08-30,Wednesday,13,touch,Карты и навигация,32
2021-09-01,2021-08-30,Wednesday,13,desktop,"Медиа, фото и развлечения",72
2021-09-01,2021-08-30,Wednesday,13,touch,"Медиа, фото и развлечения",92
2021-09-01,2021-08-30,Wednesday,13,desktop,Новости,1
2021-09-01,2021-08-30,Wednesday,13,touch,Новости,7
2021-09-01,2021-08-30,Wednesday,13,desktop,Поздравления и праздники,61
2021-09-01,2021-08-30,Wednesday,13,touch,Поздравления и праздники,291
2021-09-01,2021-08-30,Wednesday,13,desktop,"Покупки, стиль и бренды",8
2021-09-01,2021-08-30,Wednesday,13,touch,"Покупки, стиль и бренды",16
2021-09-01,2021-08-30,Wednesday,13,desktop,Сервисы,7
2021-09-01,2021-08-30,Wednesday,13,touch,Сервисы,10
2021-09-01,2021-08-30,Wednesday,13,desktop,Справка и Образование,63
2021-09-01,2021-08-30,Wednesday,13,touch,Справка и Образование,100
2021-09-01,2021-08-30,Wednesday,13,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,13,touch,Чувствительные запросы,4
2021-09-01,2021-08-30,Wednesday,14,desktop,"Здоровье, питание и рецепты",6
2021-09-01,2021-08-30,Wednesday,14,touch,"Здоровье, питание и рецепты",20
2021-09-01,2021-08-30,Wednesday,14,desktop,Карты и навигация,13
2021-09-01,2021-08-30,Wednesday,14,touch,Карты и навигация,31
2021-09-01,2021-08-30,Wednesday,14,desktop,"Медиа, фото и развлечения",74
2021-09-01,2021-08-30,Wednesday,14,touch,"Медиа, фото и развлечения",107
2021-09-01,2021-08-30,Wednesday,14,desktop,Новости,2
2021-09-01,2021-08-30,Wednesday,14,touch,Новости,11
2021-09-01,2021-08-30,Wednesday,14,desktop,Поздравления и праздники,43
2021-09-01,2021-08-30,Wednesday,14,touch,Поздравления и праздники,266
2021-09-01,2021-08-30,Wednesday,14,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,14,touch,"Покупки, стиль и бренды",31
2021-09-01,2021-08-30,Wednesday,14,desktop,Сервисы,8
2021-09-01,2021-08-30,Wednesday,14,touch,Сервисы,6
2021-09-01,2021-08-30,Wednesday,14,desktop,Справка и Образование,69
2021-09-01,2021-08-30,Wednesday,14,touch,Справка и Образование,115
2021-09-01,2021-08-30,Wednesday,14,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,14,touch,Чувствительные запросы,4
2021-09-01,2021-08-30,Wednesday,15,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,15,touch,"Здоровье, питание и рецепты",20
2021-09-01,2021-08-30,Wednesday,15,desktop,Карты и навигация,12
2021-09-01,2021-08-30,Wednesday,15,touch,Карты и навигация,24
2021-09-01,2021-08-30,Wednesday,15,desktop,"Медиа, фото и развлечения",70
2021-09-01,2021-08-30,Wednesday,15,touch,"Медиа, фото и развлечения",105
2021-09-01,2021-08-30,Wednesday,15,desktop,Новости,4
2021-09-01,2021-08-30,Wednesday,15,touch,Новости,5
2021-09-01,2021-08-30,Wednesday,15,desktop,Поздравления и праздники,34
2021-09-01,2021-08-30,Wednesday,15,touch,Поздравления и праздники,221
2021-09-01,2021-08-30,Wednesday,15,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,15,touch,"Покупки, стиль и бренды",34
2021-09-01,2021-08-30,Wednesday,15,desktop,Сервисы,13
2021-09-01,2021-08-30,Wednesday,15,touch,Сервисы,11
2021-09-01,2021-08-30,Wednesday,15,desktop,Справка и Образование,88
2021-09-01,2021-08-30,Wednesday,15,touch,Справка и Образование,96
2021-09-01,2021-08-30,Wednesday,15,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,15,touch,Чувствительные запросы,6
2021-09-01,2021-08-30,Wednesday,16,desktop,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,16,touch,"Здоровье, питание и рецепты",17
2021-09-01,2021-08-30,Wednesday,16,desktop,Карты и навигация,18
2021-09-01,2021-08-30,Wednesday,16,touch,Карты и навигация,31
2021-09-01,2021-08-30,Wednesday,16,desktop,"Медиа, фото и развлечения",61
2021-09-01,2021-08-30,Wednesday,16,touch,"Медиа, фото и развлечения",101
2021-09-01,2021-08-30,Wednesday,16,desktop,Новости,3
2021-09-01,2021-08-30,Wednesday,16,touch,Новости,10
2021-09-01,2021-08-30,Wednesday,16,desktop,Поздравления и праздники,27
2021-09-01,2021-08-30,Wednesday,16,touch,Поздравления и праздники,215
2021-09-01,2021-08-30,Wednesday,16,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,16,touch,"Покупки, стиль и бренды",25
2021-09-01,2021-08-30,Wednesday,16,desktop,Сервисы,4
2021-09-01,2021-08-30,Wednesday,16,touch,Сервисы,10
2021-09-01,2021-08-30,Wednesday,16,desktop,Справка и Образование,88
2021-09-01,2021-08-30,Wednesday,16,touch,Справка и Образование,88
2021-09-01,2021-08-30,Wednesday,16,touch,Чувствительные запросы,8
2021-09-01,2021-08-30,Wednesday,17,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,17,touch,"Здоровье, питание и рецепты",12
2021-09-01,2021-08-30,Wednesday,17,desktop,Карты и навигация,9
2021-09-01,2021-08-30,Wednesday,17,touch,Карты и навигация,28
2021-09-01,2021-08-30,Wednesday,17,desktop,"Медиа, фото и развлечения",68
2021-09-01,2021-08-30,Wednesday,17,touch,"Медиа, фото и развлечения",90
2021-09-01,2021-08-30,Wednesday,17,desktop,Новости,3
2021-09-01,2021-08-30,Wednesday,17,touch,Новости,4
2021-09-01,2021-08-30,Wednesday,17,desktop,Поздравления и праздники,36
2021-09-01,2021-08-30,Wednesday,17,touch,Поздравления и праздники,163
2021-09-01,2021-08-30,Wednesday,17,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,17,touch,"Покупки, стиль и бренды",30
2021-09-01,2021-08-30,Wednesday,17,desktop,Сервисы,9
2021-09-01,2021-08-30,Wednesday,17,touch,Сервисы,6
2021-09-01,2021-08-30,Wednesday,17,desktop,Справка и Образование,84
2021-09-01,2021-08-30,Wednesday,17,touch,Справка и Образование,93
2021-09-01,2021-08-30,Wednesday,17,touch,Чувствительные запросы,9
2021-09-01,2021-08-30,Wednesday,18,desktop,"Здоровье, питание и рецепты",4
2021-09-01,2021-08-30,Wednesday,18,touch,"Здоровье, питание и рецепты",10
2021-09-01,2021-08-30,Wednesday,18,desktop,Карты и навигация,7
2021-09-01,2021-08-30,Wednesday,18,touch,Карты и навигация,30
2021-09-01,2021-08-30,Wednesday,18,desktop,"Медиа, фото и развлечения",74
2021-09-01,2021-08-30,Wednesday,18,touch,"Медиа, фото и развлечения",76
2021-09-01,2021-08-30,Wednesday,18,touch,Новости,10
2021-09-01,2021-08-30,Wednesday,18,desktop,Поздравления и праздники,17
2021-09-01,2021-08-30,Wednesday,18,touch,Поздравления и праздники,156
2021-09-01,2021-08-30,Wednesday,18,desktop,"Покупки, стиль и бренды",10
2021-09-01,2021-08-30,Wednesday,18,touch,"Покупки, стиль и бренды",30
2021-09-01,2021-08-30,Wednesday,18,desktop,Сервисы,17
2021-09-01,2021-08-30,Wednesday,18,touch,Сервисы,11
2021-09-01,2021-08-30,Wednesday,18,desktop,Справка и Образование,68
2021-09-01,2021-08-30,Wednesday,18,touch,Справка и Образование,75
2021-09-01,2021-08-30,Wednesday,18,touch,Чувствительные запросы,7
2021-09-01,2021-08-30,Wednesday,19,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,19,touch,"Здоровье, питание и рецепты",14
2021-09-01,2021-08-30,Wednesday,19,desktop,Карты и навигация,6
2021-09-01,2021-08-30,Wednesday,19,touch,Карты и навигация,20
2021-09-01,2021-08-30,Wednesday,19,desktop,"Медиа, фото и развлечения",62
2021-09-01,2021-08-30,Wednesday,19,touch,"Медиа, фото и развлечения",109
2021-09-01,2021-08-30,Wednesday,19,desktop,Новости,1
2021-09-01,2021-08-30,Wednesday,19,touch,Новости,1
2021-09-01,2021-08-30,Wednesday,19,desktop,Поздравления и праздники,25
2021-09-01,2021-08-30,Wednesday,19,touch,Поздравления и праздники,156
2021-09-01,2021-08-30,Wednesday,19,desktop,"Покупки, стиль и бренды",4
2021-09-01,2021-08-30,Wednesday,19,touch,"Покупки, стиль и бренды",24
2021-09-01,2021-08-30,Wednesday,19,desktop,Сервисы,7
2021-09-01,2021-08-30,Wednesday,19,touch,Сервисы,8
2021-09-01,2021-08-30,Wednesday,19,desktop,Справка и Образование,62
2021-09-01,2021-08-30,Wednesday,19,touch,Справка и Образование,103
2021-09-01,2021-08-30,Wednesday,19,touch,Чувствительные запросы,8
2021-09-01,2021-08-30,Wednesday,20,desktop,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,20,touch,"Здоровье, питание и рецепты",23
2021-09-01,2021-08-30,Wednesday,20,desktop,Карты и навигация,3
2021-09-01,2021-08-30,Wednesday,20,touch,Карты и навигация,23
2021-09-01,2021-08-30,Wednesday,20,desktop,"Медиа, фото и развлечения",53
2021-09-01,2021-08-30,Wednesday,20,touch,"Медиа, фото и развлечения",92
2021-09-01,2021-08-30,Wednesday,20,touch,Новости,5
2021-09-01,2021-08-30,Wednesday,20,desktop,Поздравления и праздники,24
2021-09-01,2021-08-30,Wednesday,20,touch,Поздравления и праздники,169
2021-09-01,2021-08-30,Wednesday,20,desktop,"Покупки, стиль и бренды",5
2021-09-01,2021-08-30,Wednesday,20,touch,"Покупки, стиль и бренды",31
2021-09-01,2021-08-30,Wednesday,20,desktop,Сервисы,9
2021-09-01,2021-08-30,Wednesday,20,touch,Сервисы,11
2021-09-01,2021-08-30,Wednesday,20,desktop,Справка и Образование,65
2021-09-01,2021-08-30,Wednesday,20,touch,Справка и Образование,102
2021-09-01,2021-08-30,Wednesday,20,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,20,touch,Чувствительные запросы,8
2021-09-01,2021-08-30,Wednesday,21,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,21,touch,"Здоровье, питание и рецепты",13
2021-09-01,2021-08-30,Wednesday,21,desktop,Карты и навигация,5
2021-09-01,2021-08-30,Wednesday,21,touch,Карты и навигация,25
2021-09-01,2021-08-30,Wednesday,21,desktop,"Медиа, фото и развлечения",42
2021-09-01,2021-08-30,Wednesday,21,touch,"Медиа, фото и развлечения",115
2021-09-01,2021-08-30,Wednesday,21,desktop,Новости,1
2021-09-01,2021-08-30,Wednesday,21,touch,Новости,8
2021-09-01,2021-08-30,Wednesday,21,desktop,Поздравления и праздники,17
2021-09-01,2021-08-30,Wednesday,21,touch,Поздравления и праздники,127
2021-09-01,2021-08-30,Wednesday,21,desktop,"Покупки, стиль и бренды",11
2021-09-01,2021-08-30,Wednesday,21,touch,"Покупки, стиль и бренды",30
2021-09-01,2021-08-30,Wednesday,21,desktop,Сервисы,7
2021-09-01,2021-08-30,Wednesday,21,touch,Сервисы,7
2021-09-01,2021-08-30,Wednesday,21,desktop,Справка и Образование,55
2021-09-01,2021-08-30,Wednesday,21,touch,Справка и Образование,102
2021-09-01,2021-08-30,Wednesday,21,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,21,touch,Чувствительные запросы,4
2021-09-01,2021-08-30,Wednesday,22,desktop,"Здоровье, питание и рецепты",1
2021-09-01,2021-08-30,Wednesday,22,touch,"Здоровье, питание и рецепты",18
