hour,platform,theme,avg_query_share_in_platform_day_hour
10,desktop,Новости,0.001646153846153846
11,desktop,Новости,0.002853846153846154
12,desktop,Новости,0.0018333333333333335
13,desktop,Новости,0.0016933333333333334
14,desktop,Новости,0.0014944444444444445
15,desktop,Новости,0.0013230769230769231
16,desktop,Новости,0.0013769230769230768
17,desktop,Новости,0.0012866666666666666
18,desktop,Новости,0.0009666666666666666
19,desktop,Новости,0.0007125
20,desktop,Новости,0.0010142857142857143
21,desktop,Новости,0.000911111111111111
22,desktop,Новости,0.0007352941176470588
23,desktop,Новости,0.0006142857142857142
0,touch,Новости,0.000535
1,touch,Новости,0.00038333333333333334
2,touch,Новости,0.0002473684210526316
3,touch,Новости,0.0002473684210526316
4,touch,Новости,0.00031052631578947366
5,touch,Новости,0.00042500000000000003
6,touch,Новости,0.0005047619047619048
7,touch,Новости,0.0005761904761904761
8,touch,Новости,0.0008285714285714285
9,touch,Новости,0.0009142857142857142
10,touch,Новости,0.0009666666666666666
11,touch,Новости,0.0012619047619047618
12,touch,Новости,0.0013238095238095238
13,touch,Новости,0.0011619047619047618
14,touch,Новости,0.0012333333333333332
15,touch,Новости,0.0011952380952380953
16,touch,Новости,0.0010571428571428572
17,touch,Новости,0.0011857142857142856
18,touch,Новости,0.001161904761904762
19,touch,Новости,0.0011476190476190477
20,touch,Новости,0.0010904761904761905
21,touch,Новости,0.001223809523809524
22,touch,Новости,0.0011333333333333334
23,touch,Новости,0.0007714285714285713
0,desktop,Поздравления и праздники,0.0012761904761904763
1,desktop,Поздравления и праздники,0.0008388888888888889
2,desktop,Поздравления и праздники,0.0008352941176470589
3,desktop,Поздравления и праздники,0.0013
4,desktop,Поздравления и праздники,0.0014761904761904762
5,desktop,Поздравления и праздники,0.002371428571428571
6,desktop,Поздравления и праздники,0.0035238095238095237
7,desktop,Поздравления и праздники,0.005661904761904762
8,desktop,Поздравления и праздники,0.008033333333333333
9,desktop,Поздравления и праздники,0.008438095238095238
10,desktop,Поздравления и праздники,0.007314285714285715
